Product Name,Commercial Partner,Molecular Weight (kDa),Functional Group / Reactivity,Polymer Architecture,Solubility,Intended Application,Polydispersity Index (PDI),Application,Product Page
PEG 5K NHS,Thermo Fisher,5,NHS ester,Linear,Water-soluble,Protein PEGylation,1.05,Standard for protein conjugation,https://www.thermofisher.com/order/catalog/product/22102
PEG 20K Maleimide,Sigma-Aldrich,20,Maleimide,Linear,Water-soluble,Peptide PEGylation,1.03,Thiol-specific conjugation,https://www.sigmaaldrich.com/US/en/search?term=PEG+20K+Maleimide&type=product
8-arm PEG 10K,Avantor,10,NHS ester,Multi-arm,Water-soluble,Hydrogel formation,1.1,Cross-linking for tissue engineering,https://polysciences.com/collections/maleimide-pegs
PEG 40K Carboxyl,Thermo Fisher,40,Carboxyl,Linear,Water-soluble,Surface modification,1.07,Biosensor coatings,https://www.thermofisher.com/search/browse/category/us/en/90222233
PEG 2K Azide,Sigma-Aldrich,2,Azide,Linear,Organic solvent soluble,Click chemistry,1.02,Bioorthogonal labeling,https://www.sigmaaldrich.com/US/en/search?term=PEG+2K+Azide&type=product
Y-shaped PEG 15K,Avantor,15,Maleimide,Bifunctional,Water-soluble,Drug delivery,1.04,Enhanced stability and targeting,https://polysciences.com/collections/azide-pegs
PEG 10K Aldehyde,Thermo Fisher,10,Aldehyde,Linear,Water-soluble,Protein PEGylation,1.06,Selective conjugation for proteins,https://www.thermofisher.com/search/browse/category/us/en/90222233
PEG 30K NHS,Sigma-Aldrich,30,NHS ester,Linear,Water-soluble,Bioconjugation,1.05,Reliable PEGylation reagent,https://www.sigmaaldrich.com/US/en/search?term=PEG+30K+NHS&type=product
6-arm PEG 5K,Avantor,5,Maleimide,Multi-arm,Water-soluble,Hydrogel scaffolds,1.1,Tissue engineering applications,https://polysciences.com/collections/maleimide-pegs
PEG 1K Carboxyl,Thermo Fisher,1,Carboxyl,Linear,Water-soluble,Analytical chemistry,1.01,Calibration standards,https://www.thermofisher.com/search/browse/category/us/en/90222233
PEG 12K NHS,Sigma-Aldrich,12,NHS ester,Linear,Water-soluble,Protein labeling,1.07,Protein modification,https://www.sigmaaldrich.com/US/en/search?term=PEG+12K+NHS&type=product
4-arm PEG 20K,Avantor,20,Amine,Multi-arm,Water-soluble,Scaffold synthesis,1.09,Multi-point cross-linking,https://polysciences.com/collections/maleimide-pegs
PEG 25K Maleimide,Thermo Fisher,25,Maleimide,Linear,Water-soluble,Enzyme PEGylation,1.04,Enzyme stability enhancement,https://polysciences.com/collections/maleimide-pegs
PEG 35K Carboxyl,Sigma-Aldrich,35,Carboxyl,Linear,Water-soluble,Nanoparticle coating,1.12,Surface passivation,https://www.thermofisher.com/search/browse/category/us/en/90222233
